Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Belgium,1,GK,COURTOIS Thibaut,COURTOIS,TRUE,Chelsea FC,Premier League,ENG
Belgium,2,DF,ALDERWEIRELD Toby,ALDERWEIRELD,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,3,DF,VERMAELEN Thomas,VERMAELEN,TRUE,FC Barcelona,Primera Division,ESP
Belgium,4,DF,KOMPANY Vincent,KOMPANY,TRUE,Manchester City FC,Premier League,ENG
Belgium,5,DF,VERTONGHEN Jan,VERTONGHEN,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,6,MF,WITSEL Axel,WITSEL,TRUE,Tianjin Quanjian FC,Super League,CHN
Belgium,7,MF,DE BRUYNE Kevin,DE BRUYNE,TRUE,Manchester City FC,Premier League,ENG
Belgium,8,MF,FELLAINI Marouane,FELLAINI,TRUE,Manchester United FC,Premier League,ENG
Belgium,9,FW,LUKAKU Romelu,R. LUKAKU,TRUE,Manchester United FC,Premier League,ENG
Belgium,10,FW,HAZARD Eden,E. HAZARD,TRUE,Chelsea FC,Premier League,ENG
Belgium,11,MF,CARRASCO Yannick,CARRASCO,FALSE,Dalian Yifang FC,Super League,CHN
Belgium,12,GK,MIGNOLET Simon,MIGNOLET,FALSE,Liverpool FC,Premier League,ENG
Belgium,13,GK,CASTEELS Koen,CASTEELS,FALSE,VfL Wolfsburg,Bundesliga,GER
Belgium,14,FW,MERTENS Dries,MERTENS,FALSE,SSC Napoli,Serie A,ITA
Belgium,15,DF,MEUNIER Thomas,MEUNIER,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Belgium,17,MF,TIELEMANS Youri,TIELEMANS,TRUE,AS Monaco,Ligue 1,FRA
Belgium,18,FW,JANUZAJ Adnan,JANUZAJ,FALSE,Real Sociedad,Primera Division,ESP
Belgium,19,MF,DEMBELE Moussa,DEMBELÉ,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,20,DF,BOYATA Dedryck,BOYATA,FALSE,Celtic FC,Premier League,SCO
Belgium,23,DF,DENDONCKERLeander,DENDONCKER,FALSE,RSC Anderlecht,First Division A,BEL
Belgium,22,MF,CHADLI Nacer,CHADLI,TRUE,West Bromwich Albion FC,Premier League,ENG
Belgium,21,FW,BATSHUAYI Michy,BATSHUAYI,FALSE,Borussia Dortmund,Bundesliga,GER
Belgium,16,MF,FIAZARD Thorgan,T. HAZARD,FALSE,VfL Borussia Monchengladbach,Bundesliga,GER
Brazil,1,GK,ALISSON,ALISSON,TRUE,AS Roma,Serie A,ITA
Brazil,2,DF,THIAGO SILVA,THIAGO SILVA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,3,DF,MIRANDA,MIRANDA,TRUE,FC Internazionale,Serie A,ITA
Brazil,5,MF,CASE Ml RO,CASEMIRO,#N/A,Real Madrid CF,Primera Division,ESP
Brazil,6,DF,FILIPE LUIS,FILIPE LUIS,FALSE,Atletico Madrid,Primera Division,ESP
Brazil,4,DF,PEDRO GEROMEL,GEROMEL,FALSE,Gremio FBPA,Serie A,BRA
Brazil,7,FW,DOUGLAS COSTA,Douglas COSTA,TRUE,Juventus FC,Serie A,ITA
Brazil,9,FW,GABRIEL JESUS,Gabriel JESUS,TRUE,Manchester City FC,Premier League,ENG
Brazil,10,FW,NEYMAR,NEYMAR,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,11,MF,PHILIPPE COUTINHO,COUTINHO,TRUE,FC Barcelona,Primera Division,ESP
Brazil,8,MF,RENATO AUGUSTO,Renato AUGUSTO,TRUE,Beijing Guoan,Super League,CHN
Brazil,13,DF,MARQUINHOS,MARQUINHOS,FALSE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,12,DF,MARCELO,MARCELO,TRUE,Real Madrid CF,Primera Division,ESP
Brazil,15,MF,PAULINHO,PAULINHO,TRUE,FC Barcelona,Primera Division,ESP
Brazil,14,DF,DANILO,DANILO,#N/A,Manchester City FC,Premier League,ENG
Brazil,17,MF,FERNANDINHO,FERNANDINHO,TRUE,Manchester City FC,Premier League,ENG
Brazil,16,GK,CASSIO,CASSIO,FALSE,SC Corinthians,Serie A,BRA
Brazil,19,MF,WILLIAN,WILLIAN,TRUE,Chelsea FC,Premier League,ENG
Brazil,20,FW,ROBERTO FIRMINO,ROBERTO FIRMINO,TRUE,Liverpool FC,Premier League,ENG
Brazil,18,MF,FRED,FRED,FALSE,FC Shakhtar Donetsk,Premier League,UKR
Brazil,22,DF,FAGNER,FAGNER,TRUE,SC Corinthians,Serie A,BRA
Brazil,21,FW,TAISON,TAISON,FALSE,FC Shakhtar Donetsk,Premier League,UKR
Brazil,23,GK,EDERSON,EDERSON,FALSE,Manchester City FC,Premier League,ENG
Croatia,2,DF,VRSAUKO Sime,VRSALJKO,TRUE,Atletico Madrid,Primera Division,ESP
Croatia,3,DF,STRINIC Ivan,STRINIC,TRUE,UC Sampdoria,Serie A,ITA
Croatia,4,FW,PERISIC Ivan,PERISIC,TRUE,FC Internazionale,Serie A,ITA
Croatia,6,DF,LOVREN Dejan,LOVREN,TRUE,Liverpool FC,Premier League,ENG
Croatia,7,MF,RAKITIC Ivan,RAKITIC,TRUE,FC Barcelona,Primera Division,ESP
Croatia,8,MF,KOVACIC Mateo,KOVACIC,TRUE,Real Madrid CF,Primera Division,ESP
Croatia,13,DF,JEDVAJ Tin,JEDVAJ,FALSE,Bayer 04 Leverkusen,Bundesliga,GER
Croatia,10,MF,MODRIC Luka,MODRIC,TRUE,Real Madrid CF,Primera Division,ESP
Croatia,11,MF,BROZOVIC Marcelo,BROZOVIC,TRUE,FC Internazionale,Serie A,ITA
Croatia,1,GK,LIVAKOVIC Dominik,LIVAKOVIC,FALSE,GNK Dinamo Zagreb,1. HNL,CRO
Croatia,5,DF,CORLUKA Vedran,CORLUKA,TRUE,FC Lokomotiv Moscow,Premjer-Liga,RUS
Croatia,12,GK,KALINIC Lovre,L. KALINIC,FALSE,KAA Gent,First Division A,BEL
Croatia,14,MF,BRADARIC Filip,BRADARIC,FALSE,HNK Rijeka,1. HNL,CRO
Croatia,17,FW,MANDZUKIC Mario,MANDZUKIC,TRUE,Juventus FC,Serie A,ITA
Croatia,19,MF,BADELJ Milan,BADELJ,FALSE,ACF Fiorentina,Serie A,ITA
Croatia,21,DF,VIDA Domagoj,VIDA,TRUE,Besiktas JK,Süper Lig,TUR
Croatia,22,DF,PIVARIC Josip,PIVARIC,TRUE,FC Dynamo Kyiv,Premier League,UKR
Croatia,23,GK,SUBASIC Danijel,SUBASIC,TRUE,AS Monaco,Ligue 1,FRA
Croatia,15,DF,CALETA-CAR Duje,CALETA-CAR,FALSE,FC Red Bull Salzburg,Bundesliga,AUT
Croatia,16,FW,KALINIC Nikola,N. KALINIC,#N/A,AC Milan,Serie A,ITA
Croatia,20,FW,PJACA Marko,PJACA,FALSE,FC Schalke 04,Bundesliga,GER
Croatia,18,FW,REBIC Ante,REBIC,TRUE,Eintracht Frankfurt,Bundesliga,GER
Croatia,9,FW,KRAMARIC Andrej,KRAMARIC,TRUE,TSG 1899 Hoffenheim,Bundesliga,GER
England,1,GK,PICKFORD Jordan,PICKFORD,TRUE,Everton FC,Premier League,ENG
England,2,DF,WALKER Kyle,WALKER,TRUE,Manchester City FC,Premier League,ENG
